FIPS,County,City,Year,Estimate,Primary Point
1999990,Audubon,Balance of Audubon County,July 01 2012,2517,
1999990,Butler,Balance of Butler County,July 01 2017,5523,
1999990,Chickasaw,Balance of Chickasaw County,July 01 2018,4896,
1999990,Decatur,Balance of Decatur County,July 01 2011,2799,
1999990,Des Moines,Balance of Des Moines County,April 01 2010,8882,
1999990,Fayette,Balance of Fayette County,July 01 2018,6308,
1999990,Harrison,Balance of Harrison County,July 01 2011,6371,
1999990,Jefferson,Balance of Jefferson County,July 01 2016,5068,
1912225,Jones,Center Junction,July 01 2016,249,
1999990,Linn,Balance of Linn County,July 01 2011,20409,
1999990,Page,Balance of Page County,July 01 2011,3447,
1999990,Page,Balance of Page County,July 01 2015,3367,
1999990,Shelby,Balance of Shelby County,July 01 2014,3975,
1999990,Story,Balance of Story County,April 01 2010,8706,
1999990,Story,Balance of Story County,July 01 2017,8721,
1999990,Wayne,Balance of Wayne County,April 01 2010,2669,
1999990,Boone,Balance of Boone County,April 01 2020,8423,
1999990,Butler,Balance of Butler County,April 01 2020,5304,
1999990,Cedar,Balance of Cedar County,April 01 2020,7414,
1999990,Delaware,Balance of Delaware County,April 01 2020,8356,
1999990,Lee,Balance of Lee County,April 01 2020,10460,
1999990,Shelby,Balance of Shelby County,April 01 2020,3898,
1983010,Clay,Webb,July 01 2022,141,POINT (-95.0129187 42.9497593)
1999990,Boone,Balance of Boone County,July 01 2021,8438,
1999990,Davis,Balance of Davis County,July 01 2021,5913,
1999990,Palo Alto,Balance of Palo Alto County,July 01 2021,2392,
1999990,Winnebago,Balance of Winnebago County,July 01 2021,2735,
1999990,Cedar,Balance of Cedar County,July 01 2023,7213,
1999990,Washington,Balance of Washington County,July 01 2023,8438,
1999990,Hamilton,Balance of Hamilton County,July 01 2024,3534,
1999990,Webster,Balance of Webster County,July 01 2024,7337,
1969240,Polk,Runnells,July 01 2021,460,POINT (-93.3603967 41.5140555)
1924825,Clayton,Elkport,July 01 2011,35,POINT (-91.2749402 42.7415739)
1911215,Pottawattamie,Carter Lake,July 01 2014,3779,POINT (-95.9169331 41.2884608)
1943365,Black Hawk,La Porte City,July 01 2018,2251,POINT (-92.1911991 42.3137209)
1983595,Johnson,West Branch (pt.),July 01 2021,101,POINT (-91.3406612 41.6627654)
1999990,Wright,Balance of Wright County,July 01 2024,2595,
1999990,Poweshiek,Balance of Poweshiek County,July 01 2024,5184,
1958530,Osceola,Ocheyedan,July 01 2024,424,POINT (-95.5365264 43.4181152)
1903835,Buchanan,Aurora,July 01 2011,184,POINT (-91.7294524 42.6201079)
1932790,Adair,Greenfield,July 01 2018,1816,POINT (-94.4591514 41.305599)
1908650,Woodbury,Bronson,April 01 2010,322,POINT (-96.2113577 42.4090069)
1985260,Kossuth,Whittemore,July 01 2024,478,POINT (-94.4250537 43.0633908)
1962355,Dallas,Perry,July 01 2024,8046,POINT (-94.09406 41.8379964)
1905635,Jackson,Bellevue,July 01 2018,2196,POINT (-90.4318375 42.2625585)
1901990,Jones,Anamosa,July 01 2013,5442,POINT (-91.2757691 42.109152)
1959115,Monona,Onawa,April 01 2010,2998,POINT (-96.0905046 42.0267577)
1976890,Johnson,Swisher,April 01 2010,879,POINT (-91.6938947 41.8441956)
1986385,Henry,Winfield,July 01 2023,176,POINT (-91.4380958 41.125855)
1902800,Union,Arispe,July 01 2016,96,POINT (-94.2191509 40.9480308)
1969780,Marshall,St. Anthony,April 01 2020,76,POINT (-93.1977757 42.123908)
1930225,Lyon,George,July 01 2022,1095,POINT (-96.0027092 43.341995)
1924060,Clayton,Edgewood (pt.),July 01 2013,284,POINT (-91.401691 42.644231)
1917895,Palo Alto,Curlew,July 01 2016,56,POINT (-94.7377341 42.9795272)
1923115,Delaware,Dyersville (pt.),July 01 2012,211,POINT (-91.1174613 42.4817273)
1962355,Dallas,Perry,July 01 2021,7949,POINT (-94.09406 41.8379964)
1972345,Polk,Sheldahl (pt.),July 01 2019,138,POINT (-93.6967164 41.8642901)
1965955,Jasper,Reasnor,July 01 2011,151,POINT (-93.0229143 41.5788538)
1973920,Calhoun,Somers,July 01 2017,106,POINT (-94.4309564 42.3787135)
1950700,Cedar,Mechanicsville,July 01 2018,1133,POINT (-91.2532455 41.905572)
1914025,Cerro Gordo,Clear Lake,July 01 2024,7602,POINT (-93.3739922 43.1346536)
1956505,Jasper,Newton,July 01 2016,15112,POINT (-93.0404672 41.6965281)
1978060,Johnson,Tiffin,July 01 2012,2245,POINT (-91.658392 41.7067521)
1942645,Buena Vista,Lakeside,July 01 2013,723,POINT (-95.1771496 42.6178106)
1952500,Van Buren,Milton,July 01 2012,418,POINT (-92.1621496 40.671185)
1952545,Dallas,Minburn,July 01 2019,352,POINT (-94.0285158 41.7575518)
1966585,Mitchell,Riceville (pt.),July 01 2012,473,POINT (-92.5541081 43.362157)
1958620,Fayette,Oelwein,July 01 2023,5813,POINT (-91.9131952 42.6713674)
1975405,Van Buren,Stockport,July 01 2015,288,POINT (-91.8333604 40.8572858)
1906355,Scott,Bettendorf,July 01 2015,35502,POINT (-90.4764586 41.56564)
1919765,Crawford,Deloit,July 01 2019,255,POINT (-95.3174643 42.0971421)
1913575,Page,Clarinda,July 01 2022,5387,POINT (-95.0340039 40.7380114)
1932970,Clay,Greenville,July 01 2024,69,POINT (-95.1461167 43.0169781)
1983415,Kossuth,Wesley,July 01 2011,384,POINT (-93.9936857 43.0886724)
1913215,Wapello,Chillicothe,July 01 2022,75,POINT (-92.5303282 41.0860115)
1901090,Franklin,Alexander,July 01 2012,171,POINT (-93.4786472 42.8044201)
1999990,Woodbury,Balance of Woodbury County,July 01 2016,8167,
1975720,Grundy,Stout,July 01 2013,215,POINT (-92.7115452 42.5268983)
1947505,Benton,Luzerne,July 01 2024,111,POINT (-92.1802573 41.9057019)
1975045,Cedar,Stanwood,April 01 2010,684,POINT (-91.1487706 41.8930402)
1979500,Pottawattamie,Underwood,July 01 2014,936,POINT (-95.6820111 41.3807698)
1986700,Hancock,Woden,July 01 2024,183,POINT (-93.9114238 43.2307878)
1999990,Cass,Balance of Cass County,July 01 2011,3494,
1905140,Grundy,Beaman,July 01 2015,189,POINT (-92.822187 42.2202167)
1946605,Clinton,Lost Nation,July 01 2017,417,POINT (-90.8167168 41.9665989)
1903610,Sac,Auburn,July 01 2012,316,POINT (-94.8777258 42.2495688)
1905050,Mahaska,Beacon,July 01 2023,432,POINT (-92.681397 41.2746235)
1935265,Sioux,Hawarden,July 01 2014,2547,POINT (-96.4831539 43.0018665)
1920035,Bremer,Denver,July 01 2012,1783,POINT (-92.3346405 42.6688889)
1949170,Monona,Mapleton,April 01 2010,1224,POINT (-95.7904763 42.167086)
1901675,Lyon,Alvord,July 01 2024,216,POINT (-96.3025937 43.3417889)
1968385,Monona,Rodney,July 01 2024,43,POINT (-95.9507042 42.2047575)
1932520,Taylor,Gravity,July 01 2023,152,POINT (-94.7435014 40.7601646)
1913980,Ringgold,Clearfield (pt.),July 01 2019,6,POINT (-94.4825546 40.8025441)
1999990,Hancock,Balance of Hancock County,July 01 2019,3442,
1902530,O'Brien,Archer,July 01 2014,128,POINT (-95.7440995 43.1151043)
1907075,Muscatine,Blue Grass (pt.),July 01 2022,99,POINT (-90.7648763 41.5095767)
1975810,Hamilton,Stratford (pt.),July 01 2017,692,POINT (-93.9272412 42.2691235)
1933780,Fremont,Hamburg,April 01 2010,1187,POINT (-95.6545764 40.606121)
1965280,Cherokee,Quimby,July 01 2018,293,POINT (-95.6439386 42.629181)
1965955,Jasper,Reasnor,April 01 2010,152,POINT (-93.0229143 41.5788538)
1958710,Dickinson,Okoboji,April 01 2020,768,POINT (-95.1392893 43.3912199)
1999990,Calhoun,Balance of Calhoun County,July 01 2019,2755,
1938055,Fremont,Imogene,July 01 2023,37,POINT (-95.427529 40.8790395)
1926940,Webster,Farnhamville (pt.),July 01 2017,0,POINT (-94.407793 42.2767837)
1960105,Webster,Otho,July 01 2022,418,POINT (-94.1493376 42.4222294)
1922080,Cerro Gordo,Dougherty,July 01 2013,57,POINT (-93.0358831 42.9219661)
1999990,Lyon,Balance of Lyon County,July 01 2021,4864,
1928380,Winnebago,Forest City (pt.),July 01 2024,3840,POINT (-93.6364115 43.2569692)
1974280,Clay,Spencer,July 01 2015,11192,POINT (-95.1533205 43.1468576)
1944310,Mahaska,Leighton,April 01 2010,162,POINT (-92.7864171 41.3387995)
1980175,Jasper,Valeria,July 01 2013,56,POINT (-93.3255658 41.7297895)
1987015,Wright,Woolstock,July 01 2022,140,POINT (-93.8432601 42.5647758)
1921720,Scott,Donahue,July 01 2019,368,POINT (-90.6746301 41.6915346)
1933960,Franklin,Hampton,July 01 2018,4236,POINT (-93.2049662 42.7420064)
1919450,Carroll,Dedham,July 01 2014,262,POINT (-94.8232369 41.9087315)
1963570,Decatur,Pleasanton,July 01 2023,32,POINT (-93.7430081 40.5824833)
1911530,Monona,Castana,July 01 2015,137,POINT (-95.9103984 42.0730934)
1960105,Webster,Otho,July 01 2019,507,POINT (-94.1493376 42.4222294)
1965730,Appanoose,Rathbun,July 01 2024,44,POINT (-92.8871405 40.8016943)
1974505,Jackson,Springbrook,July 01 2016,144,POINT (-90.479117 42.1655919)
1906175,Linn,Bertram,July 01 2015,293,POINT (-91.5376397 41.9511334)
1930675,Black Hawk,Gilbertville,July 01 2017,739,POINT (-92.2141932 42.4189896)
1949845,Jones,Martelle,July 01 2021,4078,POINT (-91.3577596 42.0204466)
1960780,Plymouth,Oyens,July 01 2016,102,POINT (-96.0582383 42.8199469)
1900190,Franklin,Ackley (pt.),July 01 2013,38,POINT (-93.0527656 42.5518776)
1999990,Humboldt,Balance of Humboldt County,July 01 2019,2446,
1999990,Wayne,Balance of Wayne County,July 01 2011,2656,
1999990,Linn,Balance of Linn County,July 01 2016,20955,
1932025,Clinton,Grand Mound,July 01 2021,617,POINT (-90.6501579 41.8232709)
1987690,Jackson,Zwingle (pt.),July 01 2024,22,POINT (-90.6874539 42.2971718)
1972390,Sioux,Sheldon (pt.),July 01 2017,174,POINT (-95.8440092 43.1796213)
1904825,Jefferson,Batavia,April 01 2010,499,POINT (-92.1673927 40.9951023)
1976665,Marion,Swan,July 01 2012,72,POINT (-93.3095681 41.4674984)
1975405,Van Buren,Stockport,July 01 2024,272,POINT (-91.8333604 40.8572858)
1999990,Crawford,Balance of Crawford County,July 01 2018,4530,
1944220,Tama,Le Grand (pt.),July 01 2021,0,POINT (-92.7749753 42.0066925)
1967215,Greene,Rippey,July 01 2013,284,POINT (-94.2007998 41.9342117)
1976755,Kossuth,Swea City,July 01 2017,512,POINT (-94.3109198 43.3832998)
1999990,Buena Vista,Balance of Buena Vista County,July 01 2012,4044,
1930540,Keokuk,Gibson,July 01 2012,61,POINT (-92.3920455 41.480236)
1905095,Ringgold,Beaconsfield,July 01 2022,14,POINT (-94.0506804 40.8075746)
1933645,Carroll,Halbur,July 01 2018,251,POINT (-94.972048 42.0051243)
1982020,Sac,Wall Lake,July 01 2022,751,POINT (-95.0927786 42.267186)
1925500,Mills,Emerson,July 01 2019,449,POINT (-95.4027422 41.018044)
1937290,Sioux,Hospers,July 01 2022,711,POINT (-95.903694 43.0725353)
1910765,Polk,Carlisle (pt.),July 01 2013,93,POINT (-93.4877345 41.511846)
1919000,Scott,Davenport,April 01 2020,101724,POINT (-90.6051955 41.5557666)
1941295,Audubon,Kimballton,July 01 2015,294,POINT (-95.0748694 41.6271029)
1999990,Humboldt,Balance of Humboldt County,July 01 2017,2450,
1939000,Shelby,Irwin,July 01 2014,327,POINT (-95.2067933 41.7901573)
1957675,Warren,Norwalk (pt.),July 01 2012,9433,POINT (-93.6922661 41.4914536)
1933060,Dallas,Grimes (pt.),July 01 2015,12,POINT (-93.7945972 41.6775439)
1919450,Carroll,Dedham,July 01 2011,269,POINT (-94.8232369 41.9087315)
1912630,Dubuque,Centralia,July 01 2022,118,POINT (-90.8365993 42.4724003)
1954705,Henry,Mount Pleasant,July 01 2012,8565,POINT (-91.5452743 40.9621765)
1956865,Adams,Nodaway,July 01 2019,103,POINT (-94.8953832 40.9365491)
1908605,Hancock,Britt,July 01 2022,2003,POINT (-93.8031592 43.0974978)
1921900,Lyon,Doon,July 01 2013,601,POINT (-96.2317488 43.2787854)
1962130,Dubuque,Peosta,July 01 2022,2064,POINT (-90.8475209 42.447383)
1926400,Linn,Fairfax,July 01 2013,2393,POINT (-91.7758659 41.9227519)
1921720,Scott,Donahue,April 01 2020,335,POINT (-90.6746301 41.6915346)
1980490,Decatur,Van Wert,April 01 2010,230,POINT (-93.7918044 40.8710641)
1960015,Clayton,Osterdock,July 01 2022,46,POINT (-91.1578336 42.7313862)
1956325,Henry,New London,July 01 2021,3921,POINT (-91.4011156 40.9231717)
1949350,Cherokee,Marcus,July 01 2012,1107,POINT (-95.8068149 42.8223959)
1910765,Warren,Carlisle (pt.),July 01 2018,4186,POINT (-93.4877345 41.511846)
1940980,Washington,Keota (pt.),July 01 2017,0,POINT (-91.953364 41.3654267)
1944535,Decatur,Leon,April 01 2020,1822,POINT (-93.7545236 40.7407471)
1999990,Butler,Balance of Butler County,July 01 2015,5616,
1924690,Clayton,Elkader,July 01 2018,1215,POINT (-91.4023462 42.8571273)
1960015,Clayton,Osterdock,July 01 2018,56,POINT (-91.1578336 42.7313862)
1972525,Page,Shenandoah (pt.),April 01 2010,5150,POINT (-95.3720582 40.7583016)
1901045,Hardin,Alden,April 01 2010,787,POINT (-93.380649 42.5105935)
1950205,Delaware,Masonville,July 01 2014,124,POINT (-91.5915017 42.4798479)
1961815,Greene,Paton,July 01 2014,234,POINT (-94.2550567 42.1642219)
1999990,Hamilton,Balance of Hamilton County,July 01 2018,3599,
1958620,Fayette,Oelwein,July 01 2021,5850,POINT (-91.9131952 42.6713674)
1977115,Tama,Tama,July 01 2019,2732,POINT (-92.5739874 41.9636382)
1915105,Page,College Springs,July 01 2023,173,POINT (-95.1211184 40.6212901)
1926760,Dubuque,Farley,July 01 2012,1560,POINT (-91.0091147 42.4437548)
1923160,Tama,Dysart,April 01 2010,1379,POINT (-92.3090956 42.1721011)
1999990,Van Buren,Balance of Van Buren County,July 01 2021,4099,
1962850,Boone,Pilot Mound,July 01 2017,170,POINT (-94.0183302 42.1592616)
1967575,Fremont,Riverton,July 01 2014,285,POINT (-95.5686127 40.6868183)
1959250,Jones,Onslow,July 01 2017,194,POINT (-91.0152515 42.1073153)
1940215,Hamilton,Kamrar,July 01 2019,190,POINT (-93.7279798 42.3896833)
1999990,Grundy,Balance of Grundy County,July 01 2024,4100,
1971940,Union,Shannon City (pt.),April 01 2010,66,POINT (-94.2638596 40.8992002)
1974370,Winneshiek,Spillville,July 01 2023,374,POINT (-91.9520776 43.2031266)
1910045,Winneshiek,Calmar,July 01 2016,946,POINT (-91.8677508 43.1805636)
1947010,Clinton,Low Moor,April 01 2010,288,POINT (-90.3542133 41.8023436)
