"","County","Year","Population"
"1","Adair",2020,7496
"2","Adair",2021,7522
"3","Adair",2022,7457
"4","Adair",2023,7399
"5","Adair",2024,7431
"6","Adams",2020,3704
"7","Adams",2021,3641
"8","Adams",2022,3602
"9","Adams",2023,3553
"10","Adams",2024,3606
"11","Allamakee",2020,14061
"12","Allamakee",2021,13965
"13","Allamakee",2022,14072
"14","Allamakee",2023,14168
"15","Allamakee",2024,14184
"16","Appanoose",2020,12317
"17","Appanoose",2021,12269
"18","Appanoose",2022,12135
"19","Appanoose",2023,12129
"20","Appanoose",2024,12106
"21","Audubon",2020,5674
"22","Audubon",2021,5645
"23","Audubon",2022,5573
"24","Audubon",2023,5533
"25","Audubon",2024,5562
"26","Benton",2020,25575
"27","Benton",2021,25745
"28","Benton",2022,25756
"29","Benton",2023,25769
"30","Benton",2024,25799
"31","Black Hawk",2020,131144
"32","Black Hawk",2021,130587
"33","Black Hawk",2022,130081
"34","Black Hawk",2023,131179
"35","Black Hawk",2024,132348
"36","Boone",2020,26715
"37","Boone",2021,26770
"38","Boone",2022,26570
"39","Boone",2023,26567
"40","Boone",2024,26729
"41","Bremer",2020,24988
"42","Bremer",2021,25119
"43","Bremer",2022,25260
"44","Bremer",2023,25304
"45","Bremer",2024,25328
"46","Buchanan",2020,20565
"47","Buchanan",2021,20707
"48","Buchanan",2022,20700
"49","Buchanan",2023,20725
"50","Buchanan",2024,20733
"51","Buena Vista",2020,20823
"52","Buena Vista",2021,20794
"53","Buena Vista",2022,20651
"54","Buena Vista",2023,20698
"55","Buena Vista",2024,20816
"56","Butler",2020,14334
"57","Butler",2021,14351
"58","Butler",2022,14275
"59","Butler",2023,14225
"60","Butler",2024,14156
"61","Calhoun",2020,9927
"62","Calhoun",2021,9894
"63","Calhoun",2022,9725
"64","Calhoun",2023,9790
"65","Calhoun",2024,9711
"66","Carroll",2020,20760
"67","Carroll",2021,20754
"68","Carroll",2022,20565
"69","Carroll",2023,20512
"70","Carroll",2024,20407
"71","Cass",2020,13127
"72","Cass",2021,13085
"73","Cass",2022,13125
"74","Cass",2023,13131
"75","Cass",2024,13024
"76","Cedar",2020,18505
"77","Cedar",2021,18429
"78","Cedar",2022,18331
"79","Cedar",2023,18269
"80","Cedar",2024,18231
"81","Cerro Gordo",2020,43127
"82","Cerro Gordo",2021,42767
"83","Cerro Gordo",2022,42408
"84","Cerro Gordo",2023,42470
"85","Cerro Gordo",2024,42493
"86","Cherokee",2020,11658
"87","Cherokee",2021,11539
"88","Cherokee",2022,11492
"89","Cherokee",2023,11652
"90","Cherokee",2024,11658
"91","Chickasaw",2020,12012
"92","Chickasaw",2021,11882
"93","Chickasaw",2022,11755
"94","Chickasaw",2023,11694
"95","Chickasaw",2024,11719
"96","Clarke",2020,9748
"97","Clarke",2021,9751
"98","Clarke",2022,9676
"99","Clarke",2023,9631
"100","Clarke",2024,9524
"101","Clay",2020,16384
"102","Clay",2021,16459
"103","Clay",2022,16506
