county,date,alcohol_type,sum_sale_dollars,avg_sale_dollars,population
adair,2022,BRANDY,10341.119999999999,68.9408,7457.0
adair,2022,COCKTAILS,6086.79,81.1572,7457.0
adair,2022,GIN,2412.35,61.8551282051282,7457.0
adair,2022,LIQUEUR,17830.91,69.6519921875,7457.0
adair,2022,RUM,49340.62,84.48736301369864,7457.0
adair,2022,SCHNAPPS,7572.71,36.23306220095694,7457.0
adair,2022,SCOTCH,161.88,80.94,7457.0
adair,2022,TEQUILA,20623.0,85.57261410788382,7457.0
adair,2022,VODKA,121117.25,70.58114801864802,7457.0
adair,2022,WHISKEY,259405.99,103.14353479125248,7457.0
adair,2023,BRANDY,9181.55,75.25860655737705,7399.0
adair,2023,COCKTAILS,5669.42,76.61378378378379,7399.0
adair,2023,GIN,2586.44,63.08390243902439,7399.0
adair,2023,LIQUEUR,17496.33,69.70649402390438,7399.0
adair,2023,RUM,47627.590000000004,86.12584086799278,7399.0
adair,2023,SCHNAPPS,10685.62,56.53767195767196,7399.0
adair,2023,SCOTCH,302.15999999999997,100.71999999999998,7399.0
adair,2023,TEQUILA,26272.11,91.22260416666667,7399.0
adair,2023,VODKA,120284.0,74.38713667285096,7399.0
adair,2023,WHISKEY,280152.83,104.26231112765166,7399.0
adair,2024,BRANDY,10234.62,81.87696000000001,7431.0
adair,2024,COCKTAILS,9040.58,76.61508474576272,7431.0
adair,2024,GIN,5771.16,81.28394366197183,7431.0
adair,2024,LIQUEUR,23490.95,91.7615234375,7431.0
adair,2024,RUM,47358.38,94.15184890656063,7431.0
adair,2024,SCHNAPPS,16849.34,74.5546017699115,7431.0
adair,2024,SCOTCH,785.97,130.995,7431.0
adair,2024,TEQUILA,30735.84,101.7743046357616,7431.0
adair,2024,VODKA,123158.82,78.54516581632653,7431.0
adair,2024,WHISKEY,304929.88,111.65502746246796,7431.0
adams,2022,BRANDY,4042.29,59.44544117647059,3602.0
adams,2022,COCKTAILS,3358.56,74.63466666666666,3602.0
adams,2022,GIN,3578.08,63.894285714285715,3602.0
adams,2022,LIQUEUR,11216.4,67.97818181818181,3602.0
adams,2022,RUM,14514.380000000001,65.97445454545455,3602.0
adams,2022,SCHNAPPS,4027.42,35.32824561403509,3602.0
adams,2022,TEQUILA,16412.92,129.23559055118108,3602.0
adams,2022,VODKA,32640.91,67.43989669421488,3602.0
adams,2022,WHISKEY,113349.06999999999,109.94090203685741,3602.0
adams,2023,BRANDY,4986.49,63.12012658227848,3553.0
adams,2023,COCKTAILS,3524.04,71.91918367346939,3553.0
adams,2023,GIN,5345.09,56.86265957446809,3553.0
adams,2023,LIQUEUR,12013.44,56.137570093457946,3553.0
adams,2023,RUM,15316.43,75.08053921568627,3553.0
adams,2023,SCHNAPPS,6304.25,50.434,3553.0
adams,2023,SCOTCH,2382.07,148.879375,3553.0
adams,2023,TEQUILA,16622.56,137.37652892561985,3553.0
adams,2023,VODKA,38161.44,80.67957716701903,3553.0
adams,2023,WHISKEY,143998.11,130.7884741144414,3553.0
adams,2024,BRANDY,4632.39,73.53,3606.0
adams,2024,COCKTAILS,4393.55,86.14803921568628,3606.0
adams,2024,GIN,9598.35,115.64277108433735,3606.0
adams,2024,LIQUEUR,15618.11,73.67033018867924,3606.0
adams,2024,RUM,13324.99,78.38229411764706,3606.0
adams,2024,SCHNAPPS,7921.35,64.92909836065574,3606.0
adams,2024,SCOTCH,1300.77,130.077,3606.0
adams,2024,TEQUILA,15518.23,152.13950980392156,3606.0
adams,2024,VODKA,40450.19,89.88931111111111,3606.0
adams,2024,WHISKEY,166791.79,147.99626441881102,3606.0
allamakee,2022,BRANDY,37336.44,84.85554545454546,14072.0
allamakee,2022,COCKTAILS,16171.539999999999,66.54954732510288,14072.0
allamakee,2022,GIN,12116.43,56.09458333333333,14072.0
allamakee,2022,LIQUEUR,59807.07,74.20232009925559,14072.0
allamakee,2022,RUM,150387.36,180.32057553956832,14072.0
allamakee,2022,SCHNAPPS,61336.61,111.11704710144927,14072.0
allamakee,2022,SCOTCH,1422.18,88.88625,14072.0
allamakee,2022,TEQUILA,42728.04,115.16991913746631,14072.0
allamakee,2022,VODKA,206398.83,107.78006788511749,14072.0
allamakee,2022,WHISKEY,398128.01,132.40040239441305,14072.0
allamakee,2023,BRANDY,31414.38,79.12942065491184,14168.0
allamakee,2023,COCKTAILS,20987.92,74.42524822695034,14168.0
allamakee,2023,GIN,13211.92,63.82570048309179,14168.0
allamakee,2023,LIQUEUR,62534.17,74.0049349112426,14168.0
allamakee,2023,RUM,174617.4,198.65460750853242,14168.0
allamakee,2023,SCHNAPPS,57731.81,93.72047077922078,14168.0
allamakee,2023,SCOTCH,2034.25,72.65178571428571,14168.0
allamakee,2023,TEQUILA,44023.47,127.9752034883721,14168.0
allamakee,2023,VODKA,242702.72,123.82791836734694,14168.0
allamakee,2023,WHISKEY,483534.2,143.3543433145568,14168.0
allamakee,2024,BRANDY,29151.93,72.51723880597015,14184.0
allamakee,2024,COCKTAILS,18330.76,67.3925,14184.0
allamakee,2024,GIN,12291.47,56.125433789954336,14184.0
allamakee,2024,LIQUEUR,48540.44,75.37335403726708,14184.0
allamakee,2024,RUM,154441.93,178.95936268829664,14184.0
allamakee,2024,SCHNAPPS,52599.42,86.37014778325123,14184.0
allamakee,2024,SCOTCH,2704.61,159.09470588235294,14184.0
allamakee,2024,TEQUILA,47662.0,134.63841807909606,14184.0
allamakee,2024,VODKA,231497.26,116.50591847005536,14184.0
allamakee,2024,WHISKEY,476536.52,137.36999711732489,14184.0
appanoose,2022,BRANDY,12488.5,120.08173076923077,12135.0
appanoose,2022,COCKTAILS,26105.48,83.404089456869,12135.0
appanoose,2022,GIN,13754.73,103.41902255639097,12135.0
appanoose,2022,LIQUEUR,68546.34,150.6512967032967,12135.0
appanoose,2022,RUM,105240.7,133.55418781725888,12135.0
appanoose,2022,SCHNAPPS,54494.47,105.20167953667953,12135.0
appanoose,2022,SCOTCH,4208.62,127.53393939393939,12135.0
appanoose,2022,TEQUILA,39128.5,166.50425531914894,12135.0
appanoose,2022,VODKA,220885.52,131.24510992275697,12135.0
appanoose,2022,WHISKEY,458250.17,176.52163713405238,12135.0
appanoose,2023,BRANDY,13104.64,112.00547008547008,12129.0
appanoose,2023,COCKTAILS,22232.7,83.58157894736843,12129.0
appanoose,2023,GIN,14420.69,114.44992063492064,12129.0
appanoose,2023,LIQUEUR,83930.4,156.5865671641791,12129.0
appanoose,2023,RUM,111212.39,145.5659554973822,12129.0
appanoose,2023,SCHNAPPS,64498.15,103.86175523349436,12129.0
appanoose,2023,SCOTCH,5367.26,157.86058823529413,12129.0
appanoose,2023,TEQUILA,50728.33,189.28481343283582,12129.0
appanoose,2023,VODKA,228253.56,132.24424101969873,12129.0
appanoose,2023,WHISKEY,500020.43,181.8256109090909,12129.0
appanoose,2024,BRANDY,11891.36,103.40313043478261,12106.0
appanoose,2024,COCKTAILS,27104.02,90.34673333333333,12106.0
appanoose,2024,GIN,13360.13,100.45210526315789,12106.0
appanoose,2024,LIQUEUR,82812.4,136.42899505766061,12106.0
appanoose,2024,RUM,114481.69,157.6882782369146,12106.0
appanoose,2024,SCHNAPPS,70818.54000000001,101.3140772532189,12106.0
appanoose,2024,SCOTCH,5295.03,165.4696875,12106.0
appanoose,2024,TEQUILA,50687.66,171.82257627118645,12106.0
appanoose,2024,VODKA,236100.43,138.47532551319648,12106.0
appanoose,2024,WHISKEY,502018.71,182.68512008733626,12106.0
audubon,2022,BRANDY,3892.38,37.07028571428572,5573.0
audubon,2022,COCKTAILS,3384.42,66.36117647058823,5573.0
audubon,2022,GIN,4808.09,49.5679381443299,5573.0
audubon,2022,LIQUEUR,11210.36,55.77293532338309,5573.0
audubon,2022,RUM,37178.73,80.82332608695653,5573.0
audubon,2022,SCHNAPPS,4015.11,40.970510204081634,5573.0
audubon,2022,SCOTCH,533.4200000000001,66.67750000000001,5573.0
audubon,2022,TEQUILA,8338.39,75.12063063063063,5573.0
audubon,2022,VODKA,50410.95,65.46876623376623,5573.0
audubon,2022,WHISKEY,104243.26,88.94476109215016,5573.0
audubon,2023,BRANDY,6876.66,74.74630434782608,5533.0
audubon,2023,COCKTAILS,3822.12,72.11547169811321,5533.0
audubon,2023,GIN,4679.5599999999995,47.75061224489795,5533.0
audubon,2023,LIQUEUR,13259.84,74.0773184357542,5533.0
audubon,2023,RUM,33738.73,77.20533180778033,5533.0
audubon,2023,SCHNAPPS,6883.39,55.06712,5533.0
audubon,2023,SCOTCH,1740.63,124.3307142857143,5533.0
audubon,2023,TEQUILA,11115.03,80.54369565217392,5533.0
audubon,2023,VODKA,53173.69,75.5308096590909,5533.0
audubon,2023,WHISKEY,116790.25,95.02868185516681,5533.0
audubon,2024,BRANDY,5307.28,96.496,5562.0
audubon,2024,COCKTAILS,2517.9,64.56153846153846,5562.0
audubon,2024,GIN,4175.0599999999995,54.221558441558436,5562.0
audubon,2024,LIQUEUR,9822.11,60.25834355828221,5562.0
audubon,2024,RUM,32450.94,86.7672192513369,5562.0
audubon,2024,SCHNAPPS,7038.38,57.222601626016264,5562.0
audubon,2024,SCOTCH,1601.62,133.46833333333333,5562.0
