company,date,sum_sale_dollars,avg_sale_dollars,bottles_sold,num_transactions,num_stores
'DA BOOZE BARN,2022-01,10408.94,119.64298850574713,480,87,1
'DA BOOZE BARN,2022-02,6460.21,129.20420000000001,300,50,1
'DA BOOZE BARN,2022-03,11198.39,128.7171264367816,484,87,1
'DA BOOZE BARN,2022-04,9822.0,129.23684210526315,448,76,1
'DA BOOZE BARN,2022-05,10974.17,120.59527472527472,569,91,1
'DA BOOZE BARN,2022-06,16843.04,125.69432835820896,1994,134,1
'DA BOOZE BARN,2022-07,13795.19,186.4214864864865,831,74,1
'DA BOOZE BARN,2022-08,9940.5,105.75,499,94,1
'DA BOOZE BARN,2022-09,4934.71,93.10773584905661,262,53,1
'DA BOOZE BARN,2022-10,9978.83,118.79559523809523,536,84,1
'DA BOOZE BARN,2022-11,11278.79,137.54621951219514,502,82,1
'DA BOOZE BARN,2022-12,7726.18,107.30805555555555,385,72,1
'DA BOOZE BARN,2023-01,8417.93,101.42084337349398,353,83,1
'DA BOOZE BARN,2023-02,7652.1,98.10384615384616,343,78,1
'DA BOOZE BARN,2023-03,12529.26,130.513125,587,96,1
'DA BOOZE BARN,2023-04,8707.13,117.66391891891891,432,74,1
'DA BOOZE BARN,2023-05,8633.65,115.11533333333333,403,75,1
'DA BOOZE BARN,2023-06,12657.6,125.32277227722773,551,101,1
'DA BOOZE BARN,2023-07,9073.96,126.0272222222222,418,72,1
'DA BOOZE BARN,2023-08,11666.73,108.02527777777777,505,108,1
'DA BOOZE BARN,2023-09,8802.49,101.1780459770115,401,87,1
'DA BOOZE BARN,2023-10,7609.75,107.17957746478874,320,71,1
'DA BOOZE BARN,2023-11,10006.62,108.76760869565219,456,92,1
'DA BOOZE BARN,2023-12,12887.26,123.91596153846154,566,104,1
'DA BOOZE BARN,2024-01,13494.5,117.34347826086956,593,115,1
'DA BOOZE BARN,2024-02,13793.51,143.68239583333335,637,96,1
'DA BOOZE BARN,2024-03,14177.65,150.82606382978722,660,94,1
'DA BOOZE BARN,2024-04,11479.58,155.12945945945947,522,74,1
'DA BOOZE BARN,2024-05,14041.08,130.01,664,108,1
